sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_interference_dbm,mean_fs_interference_dbm,max_fs_violation_watt,protection_satisfaction,protection_satisfaction_strict,min_fs_i_max_dbm,max_fs_i_max_dbm,min_protection_margin_db,mean_protection_margin_db,final_w_delta,final_history_weighted_sum_rate,algorithm,sweep_value,batch_index,num_iterations_or_layers,converged,weight_profile,fs_mode,used_unfolding,pf_utility,pf_avg_rate_bps_per_hz,pf_p05_rate_bps_per_hz,pf_jain_fairness,pf_slots,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction,num_bs_ant,num_ut_per_sector
408.9424743652344,402.63836669921875,2.4341814517974854,0.0,1.6936153769493103,0.48011472821235657,-31.480623245239258,-120.0,0.5595238208770752,0.5245535969734192,35.47515106201172,0.0,1.3612074363045394,4.72496087394747e-12,8.355981379916388e-13,-83.25601959228516,-93.78231811523438,4.714961060470202e-12,0.0,0.0,-110.0,-110.0,-26.743982315063477,-16.217679977416992,0.05232596397399902,402.63836669921875,du_pf_soft,5.0,6.0,10.0,0.0,pf,budget_dual,1.0,78.70168425273499,1.6794105558495374,0.8886401031945599,0.911655587300819,6.0,,,,,16,8
408.10064697265625,401.7040100097656,2.429170608520508,0.0,1.6052165031433105,0.48703545331954956,-32.57942581176758,-120.0,0.5535714030265808,0.5297619104385376,55.690940856933594,0.0,1.3676919683348387,1.912094397746311e-12,4.905255888976168e-13,-87.18490600585938,-95.5863265991211,1.9020943674286084e-12,0.0,0.0,-110.0,-110.0,-22.815092086791992,-14.413681030273438,0.061096109449863434,401.7039794921875,du_pf_cognitive,5.0,6.0,10.0,0.0,pf,budget_dual,1.0,78.86886162597561,1.6805393319166395,0.8853954358614992,0.912200767723331,6.0,4.0,4.0,4.0,0.5,16,8
409.7626647949219,406.15545654296875,2.439063549041748,0.0,1.5269777178764343,0.4458746910095215,-47.45891571044922,-120.0,0.5476190447807312,0.490327388048172,25.13262939453125,0.0,2.6455307209398597,2.4533118592184877e-12,4.2632954458388106e-13,-86.10247039794922,-96.3863296508789,2.443311828900785e-12,0.0,0.0,-110.0,-110.0,-23.89752769470215,-13.613667488098145,0.02661474049091339,406.1554870605469,pf_fs_soft,5.0,7.0,20.0,0.0,pf,budget_dual,0.0,81.60148716785864,1.7270234260263844,0.9678739330755269,0.8842926064610992,6.0,,,,,16,8
404.69415283203125,402.111328125,2.4088938236236572,0.0,1.4311427474021912,0.44320303201675415,-48.41426467895508,-120.0,0.511904776096344,0.4828869104385376,25.479124069213867,0.0,2.6582949571311474,4.164949093075909e-13,1.1207895912355645e-13,-93.80390930175781,-100.87835693359375,4.0649490609494243e-13,0.0,0.0,-110.0,-110.0,-16.196096420288086,-9.121642112731934,0.02510492503643036,402.111328125,pf_fs_cognitive,5.0,7.0,20.0,0.0,pf,budget_dual,0.0,81.44548491748697,1.7230071248570962,0.9515724787621244,0.8891626682206029,6.0,4.0,4.0,4.0,0.5,16,8
391.90252685546875,383.4254150390625,2.3327531814575195,0.0,1.5813962817192078,0.46463117003440857,-32.63983917236328,-120.0,0.5595238208770752,0.5059523582458496,29.182416915893555,0.0,1.3740592563990504,2.4662856392548838e-12,4.743853964164768e-13,-86.0795669555664,-95.732421875,2.456285608937181e-12,0.0,0.0,-110.0,-110.0,-23.920433044433594,-14.267578125,0.05902251601219177,383.4254150390625,du_pf_soft,5.0,7.0,10.0,0.0,pf,budget_dual,1.0,76.79548520678662,1.6761278887041844,0.8847171353372377,0.8899119629951937,6.0,,,,,16,8
394.863037109375,380.0577087402344,2.350375175476074,0.0,1.7775182127952576,0.466622531414032,-33.86220169067383,-120.0,0.5535714030265808,0.5059523582458496,44.658470153808594,0.0,1.375339464051649,6.075770312211071e-13,2.0115328944626115e-13,-92.16398620605469,-98.10610961914062,5.975770551135129e-13,0.0,0.0,-110.0,-110.0,-17.836013793945312,-11.893893241882324,0.06255471706390381,380.0577087402344,du_pf_cognitive,5.0,7.0,10.0,0.0,pf,budget_dual,1.0,76.9758733708575,1.6795047248373682,0.8619547714823595,0.887682441595124,6.0,4.0,4.0,4.0,0.5,16,8
469.60546875,477.62713623046875,5.590541362762451,7.792932535721783e-07,5.8066699504852295,0.7820075750350952,0.6642605662345886,-120.0,0.8809523582458496,0.8497023582458496,38.849327087402344,0.0,2.6645304867997766,1.0454022630196347e-12,3.290718392223724e-13,-89.80715942382812,-96.3969955444336,1.0354022327019319e-12,0.0,0.0,-110.0,-110.0,-20.192834854125977,-13.603001594543457,0.02791590802371502,477.62713623046875,pf_fs_soft,5.0,0.0,20.0,0.0,pf,budget_dual,0.0,96.39268161119871,3.1997128880124706,2.2613709242052793,0.9695254209388947,6.0,,,,,32,4
471.14251708984375,473.2127685546875,5.608839511871338,9.6740237154336e-09,5.845926761627197,0.7799537181854248,1.5939594507217407,-120.0,0.8928571343421936,0.851190447807312,37.78599548339844,0.0,2.661854196805507,3.055714318730973e-13,1.1258659613324132e-13,-95.14887237548828,-100.269287109375,2.9557142866044883e-13,0.0,0.0,-110.0,-110.0,-14.851126670837402,-9.73071002960205,0.02941945381462574,473.2127685546875,pf_fs_cognitive,5.0,0.0,20.0,0.0,pf,budget_dual,0.0,96.34237643022519,3.2027179617231876,2.227570985876024,0.96761237987716,6.0,4.0,4.0,4.0,0.5,32,4
453.91558837890625,453.8692932128906,5.403757095336914,0.03272826112806798,5.357698678970337,0.7957427501678467,8.081696510314941,-64.5709358215332,0.8928571343421936,0.8764880895614624,42.58715057373047,0.0,1.3709588542114943,9.446255626668898e-13,3.303117057217725e-13,-90.24740600585938,-96.0297622680664,9.34625532349187e-13,0.0,0.0,-110.0,-110.0,-19.752595901489258,-13.970229148864746,0.05736800655722618,453.8692626953125,du_pf_soft,5.0,0.0,10.0,0.0,pf,budget_dual,1.0,93.43625891591019,3.097490794350656,2.112067469661638,0.964924337695664,6.0,,,,,32,4
450.8303527832031,455.712890625,5.36702823638916,0.10456622987985613,5.226134300231934,0.8147270083427429,8.087545394897461,-69.23689270019531,0.9047619104385376,0.882440447807312,60.473907470703125,0.0,1.369230020325631,4.3229783359792495e-13,1.889932573504241e-13,-93.64216613769531,-98.05850982666016,4.2229783038527646e-13,0.0,0.0,-110.0,-110.0,-16.357831954956055,-11.941485404968262,0.06782876700162888,455.712890625,du_pf_cognitive,5.0,0.0,10.0,0.0,pf,budget_dual,1.0,93.57929056631744,3.0922175828095235,2.24902448850471,0.9703696564351578,6.0,4.0,4.0,4.0,0.5,32,4
