algorithm,num_bs_ant,num_ut_per_sector,sweep_value,sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,p50_sinr_db,p75_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_interference_dbm,mean_fs_interference_dbm,max_fs_violation_watt,protection_satisfaction,protection_satisfaction_strict,min_fs_i_max_dbm,max_fs_i_max_dbm,min_protection_margin_db,mean_protection_margin_db,final_w_delta,final_history_weighted_sum_rate,num_iterations_or_layers,converged,used_unfolding,pf_utility,pf_avg_rate_bps_per_hz,pf_p05_rate_bps_per_hz,pf_jain_fairness,pf_slots,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction
du_pf_cognitive,96,6,5.0,529.528865814209,528.0882329940796,4.202610030770302,2.5150434010001845,4.1256608963012695,0.9194261971861124,10.49397012591362,5.420068897306919,12.159188717603683,14.655474156141281,0.9794146679341793,0.9794146679341793,75.10201358795166,0.0,18.244661158096278,1.0044971980059983e-14,9.356024841628032e-15,-109.98052930831909,-110.32756209373474,4.497215554328301e-17,0.7760416669771075,0.7265624990686774,-110.0,-110.0,-0.019468727810789184,0.32756229559890926,0.4334878120571375,528.0882415771484,20.0,0.0,1.0,130.33719592439462,2.830349710631542,2.375747614810255,0.989974206436223,8.0,8.0,8.0,8.0,0.5
du_pf_cognitive,96,8,5.0,700.3332920074463,698.2463836669922,4.168650574982166,1.639764024604992,4.207726992666721,0.9031981062144041,7.442685440182686,-23.168783705681562,12.419087037444115,14.745133243501186,0.9553571417927742,0.9553571417927742,76.2341947555542,0.0,18.322100213030353,1.0076416595919142e-14,9.377509594107121e-15,-109.96728086471558,-110.3167712688446,7.822693375028286e-17,0.7734375009313226,0.697916666045785,-110.0,-110.0,-0.0327191171199956,0.31677045905962586,0.2171242225449532,698.2463893890381,20.0,0.0,1.0,171.75409864613212,2.800224850195602,2.2628403547033593,0.9881511523504914,8.0,8.0,8.0,8.0,0.5
du_pf_soft,16,4,5.0,199.88400220870972,198.88212823867798,2.3795714750885963,0.0,2.4757363367825747,0.7244499158114195,-9.505004689097404,-120.0,6.533921260386705,9.133171565830708,0.8110119067132473,0.8110119067132473,8.435568287968636,0.0,18.49922022173996,1.0138614066417347e-14,8.212269741384768e-15,-109.94453954696655,-111.10510277748108,1.390574783600773e-16,0.8880208376795053,0.8723958414047956,-110.0,-110.0,-0.05545916976748263,1.1051041362807155,0.09576126828324044,198.88212776184082,20.0,0.0,1.0,45.51664993402761,1.7531495369596712,1.241940234235854,0.9690017997130802,8.0,,,,
du_pf_soft,16,6,5.0,214.25884580612183,213.13829708099365,1.70046703889966,0.0,1.8298871777951717,0.6207178458571434,-23.686863362789154,-120.0,3.995224868878722,6.989433899521828,0.6718750074505806,0.6718750074505806,11.86975958943367,0.0,18.176526445691707,1.0130923033726058e-14,8.35985922380386e-15,-109.94691705703735,-110.93794798851013,1.432508208445781e-16,0.8463541697710752,0.8203125037252903,-110.0,-110.0,-0.05308152863945546,0.9379484141245484,0.08779410657007243,213.1382975578308,20.0,0.0,1.0,40.721692536398734,1.4154200685306721,0.9443442547255756,0.960382221956999,8.0,,,,
du_pf_soft,16,8,5.0,255.17962980270386,256.5309019088745,1.5189263559877872,0.0,1.6435376480221748,0.5427726386114955,-33.78152137994766,-120.0,3.205533037893474,6.777136420831084,0.5890996996313334,0.5890996996313334,9.428628399968147,0.0,18.34265816473635,1.0108755652100821e-14,8.502132899499552e-15,-109.95696091651917,-110.87069439888,1.2509932830139208e-16,0.8697916641831398,0.8593749962747097,-110.0,-110.0,-0.04303831925790467,0.8706951667554677,0.07691024907398965,256.5309042930603,20.0,0.0,1.0,37.64013155534105,1.2883189735259515,0.8384316389995269,0.9544762877008341,8.0,,,,
du_pf_soft,32,4,5.0,205.34564781188965,204.53968143463135,2.4445910342037678,1.0133946378611725,2.4220066778361797,0.8802009131759405,3.0329155579092912,-5.5291327416780405,6.3702016323804855,8.416962832212448,0.9486607108265162,0.9486607108265162,54.561766266822815,0.0,18.173197513067862,1.2501536113123738e-14,9.464506654053716e-15,-109.25871181488037,-110.37420439720154,2.5015362886070372e-15,0.4999999972060323,0.484375,-110.0,-110.0,-0.7412870188709348,0.37420603382634,0.20118345459923145,204.5396842956543,20.0,0.0,1.0,48.527402545695516,1.7963916904590707,1.456679865546158,0.9863001833851754,8.0,,,,
du_pf_soft,32,6,5.0,245.14666604995728,243.5468626022339,1.9456084445118904,1.3436144419287645e-09,2.035720659419894,0.8067215587943792,-7.209995463490486,-120.0,4.905102718621492,6.800610017031431,0.8588789589703083,0.8588789589703083,65.06930100917816,0.0,18.036718799790833,1.3772769460170537e-14,9.765880314942306e-15,-109.11902356147766,-110.26214027404785,3.772769635653836e-15,0.4088541667442769,0.3906249979045242,-110.0,-110.0,-0.8809731968940469,0.26214001839980483,0.14580225222744045,243.5468626022339,20.0,0.0,1.0,51.58652143092119,1.5226843059265844,1.1602096327019278,0.980059010520492,8.0,,,,
du_pf_soft,32,8,5.0,284.44140577316284,283.50824308395386,1.6931036040186882,0.0,1.8474829476326704,0.743424765765667,-15.115162998437881,-120.0,4.139637269079685,6.150737404823303,0.7818080354481936,0.7818080354481936,65.99334561824799,0.0,18.059336394129787,1.2546403818916712e-14,9.538304505462365e-15,-109.35505175590515,-110.3491222858429,2.546403994400012e-15,0.45312500186264515,0.42708333395421505,-110.0,-110.0,-0.6449481668969383,0.34912497595360037,0.11335886968299741,283.5082473754883,20.0,0.0,1.0,52.50928936829191,1.384496629730841,1.0201690312184197,0.9776244215464461,8.0,,,,
du_pf_soft,64,4,5.0,267.3152174949646,266.2504143714905,3.1823240146040916,1.7511918095871808,3.133831314742565,0.911743676289916,7.90430548787117,3.472314201295376,8.902229838073254,10.922401897609234,0.9817708227783442,0.9817708227783442,71.48405373096466,0.0,18.109512991504744,1.1120965741542104e-14,9.255043479480506e-15,-109.66289973258972,-110.44423770904541,1.1209659170254032e-15,0.6145833283662796,0.5833333265036345,-110.0,-110.0,-0.33709890269528836,0.44423943012952805,0.48946529254317284,266.25041103363037,20.0,0.0,1.0,67.47966789831516,2.2459777535497585,1.8830368474934445,0.9891234898249833,8.0,,,,
du_pf_soft,64,6,5.0,368.04181575775146,367.2576389312744,2.9209667816758156,1.3248406620888318,2.9427267648279667,0.9017866365611553,4.758502870798111,-0.12682932079769665,8.25026523321867,10.056240677833557,0.9570932406932116,0.9570932406932116,72.58974170684814,0.0,18.07964634525706,1.083789373625638e-14,9.456796510181554e-15,-109.72740840911865,-110.33592247962952,8.378939117396797e-16,0.5260416679084301,0.49739583767950535,-110.0,-110.0,-0.2725913284812122,0.335924767452525,0.29998634662479157,367.2576446533203,20.0,0.0,1.0,93.51545697842447,2.112721801873107,1.7521018803758845,0.989634174997089,8.0,,,,
