sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_interference_dbm,mean_fs_interference_dbm,max_fs_violation_watt,protection_satisfaction,protection_satisfaction_strict,min_fs_i_max_dbm,max_fs_i_max_dbm,min_protection_margin_db,mean_protection_margin_db,final_w_delta,final_history_weighted_sum_rate,algorithm,sweep_value,batch_index,num_iterations_or_layers,converged,weight_profile,fs_mode,used_unfolding,pf_utility,pf_avg_rate_bps_per_hz,pf_p05_rate_bps_per_hz,pf_jain_fairness,pf_slots,tau_rms_ns,bc50_hz,bc90_hz,group_bandwidth_hz,group_over_bc50,group_over_bc90,flat_ok_bc50,flat_ok_bc90,channel_modeling,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction
526.1688232421875,525.880859375,4.175942897796631,0.0,4.6808390617370605,0.6649717092514038,-10.79655933380127,-120.0,0.761904776096344,0.738095223903656,59.98903274536133,0.0,1.3590405610157177,3.8334634945569324e-13,1.3615799839602344e-13,-94.16409301757812,-99.52975463867188,3.7334634624304475e-13,0.0,0.0,-110.0,-110.0,-15.83591365814209,-10.470244407653809,0.06427408009767532,525.880859375,du_pf_cognitive,5.0,2.0,10.0,0.0,pf,budget_dual,1.0,115.21319068171638,2.5892550214744428,1.601290092893617,0.9227893082977849,6.0,100.0,1999999.9999999998,199999.99999999997,1023750.0,0.5118750000000001,5.11875,1.0,0.0,flat,4.0,4.0,4.0,0.5
528.6495361328125,530.7144775390625,4.19563102722168,1.3919644530346886e-06,4.342713832855225,0.7198196053504944,-17.17197608947754,-120.0,0.8333333134651184,0.6914682388305664,64.31676483154297,0.0,1.3547681529889815,5.1471722934196e-13,1.7291722253284098e-13,-92.88431549072266,-98.8037109375,5.047172532343658e-13,0.0,0.0,-110.0,-110.0,-17.11568832397461,-11.196295738220215,0.06395579129457474,530.7144775390625,du_pf_cognitive,5.0,2.0,10.0,0.0,pf,budget_dual,1.0,117.04424529268843,2.6082158912120477,1.773320276083857,0.93822917675881,6.0,100.0,1999999.9999999998,199999.99999999997,1023750.0,0.5118750000000001,5.11875,1.0,0.0,selective,4.0,4.0,4.0,0.5
591.962158203125,589.0902709960938,4.698112487792969,0.0,4.850385665893555,0.6917398571968079,-10.57845401763916,-120.0,0.7777777910232544,0.7748016119003296,43.26099395751953,0.0,2.630959950009128,1.4055812720334404e-12,4.4106832444192057e-13,-88.52143859863281,-94.91251373291016,1.3955812417157376e-12,0.0,0.0,-110.0,-110.0,-21.478559494018555,-15.087475776672363,0.02938331477344036,589.0902099609375,pf_fs_soft,5.0,3.0,20.0,0.0,pf,budget_dual,0.0,120.14523095970881,2.6734552296139458,1.7792495842672897,0.9399327766178622,6.0,100.0,1999999.9999999998,199999.99999999997,1023750.0,0.5118750000000001,5.11875,1.0,0.0,flat,,,,
597.635009765625,589.6392822265625,4.74313497543335,2.6504409106564708e-05,4.677807569503784,0.7249194383621216,-16.9563045501709,-120.0,0.8492063283920288,0.7202380895614624,47.950531005859375,0.0,2.629958688048646,1.6899956911328728e-12,4.880854834882209e-13,-87.72114562988281,-94.46334075927734,1.67999566081517e-12,0.0,0.0,-110.0,-110.0,-22.27885627746582,-15.536664009094238,0.02713739685714245,589.6392822265625,pf_fs_soft,5.0,3.0,20.0,0.0,pf,budget_dual,0.0,121.5276282687645,2.6951698710682064,1.923292048562765,0.9460756866617782,6.0,100.0,1999999.9999999998,199999.99999999997,1023750.0,0.5118750000000001,5.11875,1.0,0.0,selective,,,,
592.5726318359375,589.3338623046875,4.702957630157471,0.0,4.756252765655518,0.689232349395752,-10.807290077209473,-120.0,0.8015872836112976,0.7678571343421936,43.340084075927734,0.0,2.6550471789960284,3.515815839415931e-13,1.549035829077547e-13,-94.53973388671875,-99.0125732421875,3.415815807289446e-13,0.0,0.0,-110.0,-110.0,-15.460261344909668,-10.98742389678955,0.028782185167074203,589.3338623046875,pf_fs_cognitive,5.0,3.0,20.0,0.0,pf,budget_dual,0.0,120.26855049783158,2.6800573961546332,1.8379285080197452,0.9377944110316504,6.0,100.0,1999999.9999999998,199999.99999999997,1023750.0,0.5118750000000001,5.11875,1.0,0.0,flat,4.0,4.0,4.0,0.5
600.3178100585938,589.7691650390625,4.764427185058594,0.17850764095783234,4.5237767696380615,0.7217399477958679,-16.912202835083008,-120.0,0.8650793433189392,0.7182539701461792,41.46004104614258,0.0,2.636564478947548,4.402131328733183e-13,1.5535637284003895e-13,-93.56336975097656,-98.99639129638672,4.302131296606698e-13,0.0,0.0,-110.0,-110.0,-16.436630249023438,-11.003609657287598,0.026389149948954582,589.7691650390625,pf_fs_cognitive,5.0,3.0,20.0,0.0,pf,budget_dual,0.0,121.5656215129611,2.697048637661482,1.9174303113637778,0.9445078486389354,6.0,100.0,1999999.9999999998,199999.99999999997,1023750.0,0.5118750000000001,5.11875,1.0,0.0,selective,4.0,4.0,4.0,0.5
567.3927612304688,562.45849609375,4.503117084503174,0.0,4.699540615081787,0.6920563578605652,-5.720544338226318,-120.0,0.7936508059501648,0.7708333134651184,45.54814910888672,0.0,1.3629291839606594,1.4598646727245757e-12,5.000730732285241e-13,-88.35688018798828,-94.17940521240234,1.4498646424068728e-12,0.0,0.0,-110.0,-110.0,-21.643123626708984,-15.82059383392334,0.05768289417028427,562.45849609375,du_pf_soft,5.0,3.0,10.0,0.0,pf,budget_dual,1.0,116.41761983089982,2.6044658983211817,1.7796872939407002,0.9332938133955396,6.0,100.0,1999999.9999999998,199999.99999999997,1023750.0,0.5118750000000001,5.11875,1.0,0.0,flat,,,,
575.9779052734375,562.9085083007812,4.571253299713135,0.059947941452264786,4.403609991073608,0.7255356907844543,-10.88152027130127,-120.0,0.8650793433189392,0.7301587462425232,49.777828216552734,0.0,1.357872563006822,1.535121964442443e-12,5.144150621964882e-13,-88.1385726928711,-94.05740356445312,1.5251219341247402e-12,0.0,0.0,-110.0,-110.0,-21.861427307128906,-15.942597389221191,0.05864692106842995,562.908447265625,du_pf_soft,5.0,3.0,10.0,0.0,pf,budget_dual,1.0,117.42094951218468,2.6154556959719995,1.8606507685435711,0.9407029522758833,6.0,100.0,1999999.9999999998,199999.99999999997,1023750.0,0.5118750000000001,5.11875,1.0,0.0,selective,,,,
569.2024536132812,563.3117065429688,4.51747989654541,0.0,4.7491295337677,0.7043388485908508,-6.009318828582764,-120.0,0.8095238208770752,0.7857142686843872,65.31934356689453,0.0,1.359059417998651,5.256759654306831e-13,2.2760339077852743e-13,-92.79281616210938,-97.20248413085938,5.156759893230889e-13,0.0,0.0,-110.0,-110.0,-17.20718002319336,-12.797515869140625,0.06024784967303276,563.3117065429688,du_pf_cognitive,5.0,3.0,10.0,0.0,pf,budget_dual,1.0,116.00721061640206,2.5957091908191576,1.758252161162283,0.9333425273032105,6.0,100.0,1999999.9999999998,199999.99999999997,1023750.0,0.5118750000000001,5.11875,1.0,0.0,flat,4.0,4.0,4.0,0.5
575.7403564453125,562.57177734375,4.5693678855896,0.04795809695497155,4.290144681930542,0.736892580986023,-10.565436363220215,-120.0,0.8650793433189392,0.75,66.25804901123047,0.0,1.358758830028819,7.092792065482856e-13,2.7424159406048976e-13,-91.49182891845703,-96.5237045288086,6.992792304406914e-13,0.0,0.0,-110.0,-110.0,-18.5081729888916,-13.476299285888672,0.05952153354883194,562.57177734375,du_pf_cognitive,5.0,3.0,10.0,0.0,pf,budget_dual,1.0,117.18277600603457,2.6081121223160824,1.8645079628458157,0.9417157544011039,6.0,100.0,1999999.9999999998,199999.99999999997,1023750.0,0.5118750000000001,5.11875,1.0,0.0,selective,4.0,4.0,4.0,0.5
