sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_interference_dbm,mean_fs_interference_dbm,max_fs_violation_watt,protection_satisfaction,protection_satisfaction_strict,min_fs_i_max_dbm,max_fs_i_max_dbm,min_protection_margin_db,mean_protection_margin_db,final_w_delta,final_history_weighted_sum_rate,algorithm,sweep_value,batch_index,num_iterations_or_layers,converged,weight_profile,fs_mode,used_unfolding,pf_utility,pf_avg_rate_bps_per_hz,pf_p05_rate_bps_per_hz,pf_jain_fairness,pf_slots,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction
398.1925354003906,372.7049560546875,3.1602582931518555,0.0,3.0080742835998535,0.5594976544380188,-27.058300018310547,-120.0,0.658730149269104,0.622519850730896,59.92854690551758,0.0,1.660834552720189,3.83350339319688e-12,1.2857324796847203e-12,-84.1640396118164,-91.18716430664062,3.8235035797196115e-12,0.0,0.0,-110.0,-110.0,-25.83595848083496,-18.812837600708008,0.04758736491203308,372.7049865722656,du_pf_soft,5.0,2.0,12.0,0.0,pf,budget_dual,1.0,79.10009180052515,1.9790017394182102,1.019255007674201,0.9043286921099741,6.0,,,,
398.7876281738281,372.7430419921875,3.1649811267852783,0.0,3.0543878078460693,0.559074342250824,-27.53108787536621,-120.0,0.6666666865348816,0.6289682388305664,52.37237548828125,0.0,1.6596099832095206,7.889896960593112e-13,3.6006538462612925e-13,-91.02928161621094,-95.85088348388672,7.789897199517171e-13,0.0,0.0,-110.0,-110.0,-18.970712661743164,-14.149115562438965,0.044249411672353745,372.7430114746094,du_pf_cognitive,5.0,2.0,12.0,0.0,pf,budget_dual,1.0,79.27547734602362,1.9818545975450876,1.0150025687577964,0.9050880988736105,6.0,8.0,8.0,8.0,0.5
372.93206787109375,375.3397216796875,2.959778308868408,0.0,3.4432337284088135,0.5436480641365051,-38.961883544921875,-120.0,0.5873016119003296,0.5778769850730896,48.65230178833008,0.0,2.7009442979469895,8.824099437254596e-12,1.3650160645903298e-12,-80.54329681396484,-93.78912353515625,8.814099623777327e-12,0.0,0.0,-110.0,-110.0,-29.456703186035156,-16.21088218688965,0.025784863159060478,375.3397216796875,pf_fs_soft,5.0,3.0,20.0,0.0,pf,budget_dual,0.0,79.51587009755744,1.9770627619516448,1.1656658155304327,0.9057568598834284,6.0,,,,
376.3886413574219,371.78228759765625,2.9872114658355713,0.0,3.500989079475403,0.546974778175354,-37.750343322753906,-120.0,0.5873016119003296,0.5798611044883728,46.99052047729492,0.0,2.6935658026486635,2.654869379892233e-12,4.19136405270526e-13,-85.75956726074219,-97.9156265258789,2.64486934957453e-12,0.0,0.0,-110.0,-110.0,-24.240432739257812,-12.084368705749512,0.02453826554119587,371.78228759765625,pf_fs_cognitive,5.0,3.0,20.0,0.0,pf,budget_dual,0.0,79.37611130727073,1.9782939172108573,1.130566145898964,0.9042130742695106,6.0,8.0,8.0,8.0,0.5
363.2859191894531,355.9808654785156,2.8832216262817383,0.0,3.39032518863678,0.560546875,-33.65026092529297,-120.0,0.6111111044883728,0.5882936716079712,55.74905776977539,0.0,1.6612598970532417,1.097291701945835e-11,1.726254013866002e-12,-79.5967788696289,-92.57479095458984,1.0962917205981082e-11,0.0,0.0,-110.0,-110.0,-30.403221130371094,-17.42521095275879,0.042599666863679886,355.9808349609375,du_pf_soft,5.0,3.0,12.0,0.0,pf,budget_dual,1.0,76.63049543431087,1.9376888007433062,1.07436970205462,0.901679186573471,6.0,,,,
363.7119445800781,359.2599792480469,2.8866026401519775,0.0,3.2130578756332397,0.5565537810325623,-33.22441864013672,-120.0,0.60317462682724,0.5942460298538208,54.000972747802734,0.0,1.6620829794555902,3.136213727952808e-12,4.986330901131375e-13,-85.03594207763672,-97.08101654052734,3.126213697635105e-12,0.0,0.0,-110.0,-110.0,-24.96405601501465,-12.918980598449707,0.044700317084789276,359.2599792480469,du_pf_cognitive,5.0,3.0,12.0,0.0,pf,budget_dual,1.0,76.61620355431366,1.9381167614402337,1.0763954029247595,0.9006122591079996,6.0,8.0,8.0,8.0,0.5
417.8289794921875,437.6420593261719,3.316102981567383,0.0,3.166587233543396,0.5498397946357727,-30.095626831054688,-120.0,0.6507936716079712,0.6359127163887024,52.683624267578125,0.0,2.704051489941776,5.074448673758614e-12,1.2025322144310069e-12,-82.94610595703125,-91.2496109008789,5.064448860281345e-12,0.0,0.0,-110.0,-110.0,-27.053890228271484,-18.750385284423828,0.026084477081894875,437.64208984375,pf_fs_soft,5.0,4.0,20.0,0.0,pf,budget_dual,0.0,85.7418812438746,2.060569964055551,1.2245000949511007,0.923682610145043,6.0,,,,
421.3266296386719,436.2767028808594,3.3438620567321777,0.0,3.119335174560547,0.5568156838417053,-29.772884368896484,-120.0,0.658730149269104,0.6383928656578064,54.40510559082031,0.0,2.708582742139697,8.574267598010499e-13,3.657292296701392e-13,-90.66802215576172,-95.84798431396484,8.474267836934557e-13,0.0,0.0,-110.0,-110.0,-19.33197021484375,-14.152016639709473,0.024870168417692184,436.2767028808594,pf_fs_cognitive,5.0,4.0,20.0,0.0,pf,budget_dual,0.0,85.75325464658518,2.061444032820011,1.2492314748093614,0.9229170453689791,6.0,8.0,8.0,8.0,0.5
408.5577697753906,414.307861328125,3.2425220012664795,0.0,3.1967787742614746,0.5702594518661499,-24.0103759765625,-120.0,0.6507936716079712,0.644345223903656,66.4393081665039,0.0,1.6585216992534697,5.3719780360173e-12,1.383028132122266e-12,-82.69866180419922,-90.6679458618164,5.3619782225400314e-12,0.0,0.0,-110.0,-110.0,-27.301342010498047,-19.332046508789062,0.04607684537768364,414.307861328125,du_pf_soft,5.0,4.0,12.0,0.0,pf,budget_dual,1.0,82.95747551927667,2.01868804624891,1.2032002769925785,0.9206886254346245,6.0,,,,
408.6105041503906,416.6505126953125,3.2429404258728027,0.0,3.104622006416321,0.5645079016685486,-23.50417137145996,-120.0,0.6507936716079712,0.6438491940498352,58.05360412597656,0.0,1.6665983595885336,9.998907084252107e-13,3.988252870318343e-13,-90.00047302246094,-95.43765258789062,9.898906781075079e-13,0.0,0.0,-110.0,-110.0,-19.99952507019043,-14.56234359741211,0.04670180752873421,416.6505126953125,du_pf_cognitive,5.0,4.0,12.0,0.0,pf,budget_dual,1.0,82.92228713126269,2.0183959506333444,1.177255396100273,0.9204049844082812,6.0,8.0,8.0,8.0,0.5
