sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,p50_sinr_db,p75_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_interference_dbm,mean_fs_interference_dbm,max_fs_violation_watt,protection_satisfaction,protection_satisfaction_strict,min_fs_i_max_dbm,max_fs_i_max_dbm,min_protection_margin_db,mean_protection_margin_db,final_w_delta,final_history_weighted_sum_rate,algorithm,sweep_value,batch_index,num_iterations_or_layers,converged,weight_profile,fs_mode,used_unfolding,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction,pf_utility,pf_avg_rate_bps_per_hz,pf_p05_rate_bps_per_hz,pf_jain_fairness,pf_slots
520.29248046875,521.770263671875,4.129305362701416,0.0,4.685818195343018,0.7819008827209473,-5.018223762512207,-120.0,13.933600902557373,16.594730377197266,0.841269850730896,0.841269850730896,5.499900817871094,0.0,87.13282755413093,9.99009716233035e-15,8.459281621811966e-15,-110.00431060791016,-110.93814849853516,0.0,1.0,1.0,-110.0,-110.0,0.004302704706788063,0.9381511211395264,0.030344724655151367,521.770263671875,du_pf_cognitive,15.0,38.0,56.0,0.0,pf,budget_dual,1.0,8.0,8.0,8.0,0.5,117.3383602971611,2.5752944631213555,1.9371209300466203,0.9717175432579076,8.0
535.15966796875,539.1790161132812,4.247298717498779,0.0,4.685138702392578,0.7821347713470459,-4.18048620223999,-120.0,13.931480407714844,17.334598541259766,0.8571428656578064,0.8571428656578064,6.437556743621826,0.0,87.00349794351496,1.0002820444231057e-14,8.54608725231248e-15,-109.998779296875,-110.8421630859375,2.82061971435682e-18,0.9166666865348816,0.9166666865348816,-110.0,-110.0,-0.001224837964400649,0.8421700596809387,0.028895964846014977,539.1790161132812,pf_fs_cognitive,15.0,38.0,56.0,0.0,pf,budget_dual,0.0,8.0,8.0,8.0,0.5,123.58022371223315,2.7035391526065005,2.0585036901338727,0.9727396576179209,8.0
220.59938049316406,253.8162384033203,1.750788688659668,0.0,1.8000001907348633,0.7008110880851746,-16.87790870666504,-120.0,3.948292851448059,7.229680061340332,0.7777777910232544,0.7777777910232544,53.34162139892578,0.0,10.933679235167801,1.0232346044146239e-14,9.815405087288624e-15,-109.9002456665039,-110.0863265991211,2.323462196295381e-16,0.4166666567325592,0.4166666567325592,-110.0,-110.0,-0.09975231438875198,0.0863315686583519,0.18954366445541382,253.81622314453125,edge_fs_soft,15.0,38.0,56.0,0.0,edge_boost,budget_dual,0.0,,,,,,,,,
509.5255432128906,507.8459167480469,4.043853282928467,0.0,4.2388365268707275,0.7873032689094543,-2.0018112659454346,-120.0,12.523828029632568,16.1396427154541,0.8650793433189392,0.8650793433189392,16.795198440551758,0.0,87.28359842067584,9.999998977483753e-15,8.925131108076991e-15,-110.0,-110.5697250366211,0.0,1.0,1.0,-110.0,-110.0,5.177192861083313e-07,0.5697226524353027,0.032572269439697266,507.8459167480469,du_pf_cognitive,15.0,39.0,56.0,0.0,pf,budget_dual,1.0,8.0,8.0,8.0,0.5,122.17530207706864,2.683020493503385,1.9230631757412004,0.9663049178258444,8.0
514.0650024414062,512.8199462890625,4.079881191253662,0.0,4.366305828094482,0.7938625812530518,-0.2432783842086792,-120.0,12.928123950958252,15.958817481994629,0.8730158805847168,0.8730158805847168,11.682683944702148,0.0,86.99180722911842,1.0016404311606174e-14,8.333731010238144e-15,-109.99288177490234,-110.9896469116211,1.6404487089474035e-17,0.9166666865348816,0.9166666865348816,-110.0,-110.0,-0.007118517998605967,0.9896463751792908,0.04239165410399437,512.8199462890625,pf_fs_cognitive,15.0,39.0,56.0,0.0,pf,budget_dual,0.0,8.0,8.0,8.0,0.5,128.95587368418404,2.835243613010657,2.102932088423841,0.9624053608294542,8.0
329.47821044921875,388.024658203125,2.6149065494537354,0.0,2.7434388399124146,0.7235137820243835,-13.357563972473145,-120.0,7.5732386112213135,11.093928813934326,0.817460298538208,0.817460298538208,17.683837890625,0.0,10.83979080314748,9.999998977483753e-15,9.216568040172884e-15,-110.0,-110.3611068725586,0.0,1.0,1.0,-110.0,-110.0,5.177192861083313e-07,0.36111125349998474,0.09845254570245743,388.024658203125,edge_fs_soft,15.0,39.0,56.0,0.0,edge_boost,budget_dual,0.0,,,,,,,,,
430.8860168457031,426.1728210449219,3.4197301864624023,0.0,3.7117267847061157,0.8067366480827332,-3.511418342590332,-120.0,10.828608512878418,13.277463912963867,0.8730158805847168,0.8730158805847168,22.619232177734375,0.0,86.88814146001823,9.94857391319005e-15,8.988487478465718e-15,-110.02239990234375,-110.5691146850586,0.0,1.0,1.0,-110.0,-110.0,0.02239152416586876,0.5691213011741638,0.047292597591876984,426.17279052734375,du_pf_cognitive,15.0,40.0,56.0,0.0,pf,budget_dual,1.0,8.0,8.0,8.0,0.5,102.78296521664522,2.2974183072193877,1.6243577501327309,0.9712362334859009,8.0
453.8609924316406,452.7406005859375,3.6020712852478027,0.0,4.1622703075408936,0.770665168762207,-3.4851126670837402,-120.0,12.280080318450928,14.771821975708008,0.8333333134651184,0.8333333134651184,14.663249015808105,0.0,87.40072424081154,1.0001088261853922e-14,8.480255851651877e-15,-109.99951934814453,-110.91028594970703,1.088437337221776e-18,0.9166666865348816,0.9166666865348816,-110.0,-110.0,-0.00047270351205952466,0.9102880358695984,0.060029637068510056,452.7406005859375,pf_fs_cognitive,15.0,40.0,56.0,0.0,pf,budget_dual,0.0,8.0,8.0,8.0,0.5,114.00039181678594,2.5135699852626154,1.7760801966158164,0.9689222892610446,8.0
337.8624267578125,373.8436279296875,2.681447744369507,0.0,2.925028920173645,0.7512270212173462,-12.586807250976562,-120.0,8.185655117034912,10.80940055847168,0.817460298538208,0.817460298538208,4.898519039154053,0.0,10.905614259885624,1.0094580370440063e-14,8.44056388774354e-15,-109.95912170410156,-110.92618560791016,9.458054592336243e-17,0.9166666865348816,0.9166666865348816,-110.0,-110.0,-0.04088275134563446,0.9261829853057861,0.10643120110034943,373.8436279296875,edge_fs_soft,15.0,40.0,56.0,0.0,edge_boost,budget_dual,0.0,,,,,,,,,
481.7750244140625,474.8736267089844,3.823611259460449,0.0,4.154768466949463,0.7809809446334839,-6.722789287567139,-120.0,12.256141185760498,15.857677459716797,0.8253968358039856,0.8253968358039856,8.266067504882812,0.0,87.11086283158511,1.0041734831893814e-14,7.799349782276668e-15,-109.98191833496094,-111.5399398803711,4.1735007377113886e-17,0.8333333134651184,0.8333333134651184,-110.0,-110.0,-0.018087640404701233,1.539941430091858,0.040455810725688934,474.8736267089844,du_pf_cognitive,15.0,41.0,56.0,0.0,pf,budget_dual,1.0,8.0,8.0,8.0,0.5,101.62494349287329,2.2732904440908963,1.6632436825367205,0.9730290508406011,8.0
