algorithm,tau_rms_ns,batch_index,bc50_hz,bc90_hz,group_bandwidth_hz,group_over_bc50,group_over_bc90,flat_ok_bc50,flat_ok_bc90,rate_gap_bps_per_hz,fairness_gap,coverage_gap,protection_gap
du_pf_cognitive,10.0,15.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-0.841156005859375,-0.003435422720248882,-0.0158730149269104,0.1666666865348816
pf_fs_soft,10.0,16.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,5.995941162109375,-0.003058628786076323,-0.02380955219268799,-0.1666666865348816
pf_fs_cognitive,10.0,16.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-3.07763671875,-0.0033987842110780875,-0.023809492588043213,0.0
du_pf_soft,10.0,16.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,6.440155029296875,-0.004878012152806366,-0.0158730149269104,0.0
du_pf_cognitive,10.0,16.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,7.834197998046875,-0.0036226190385605372,-0.007936477661132812,0.1666666865348816
pf_fs_soft,10.0,17.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,27.680282592773438,0.0003731366692341087,-0.023809492588043213,-0.08333331346511841
pf_fs_cognitive,10.0,17.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-5.63726806640625,-0.003936927751052033,-0.0317460298538208,0.08333337306976318
du_pf_soft,10.0,17.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,0.4033355712890625,-0.0028591441154725006,-0.007936477661132812,0.1666666641831398
du_pf_cognitive,10.0,17.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,4.18988037109375,-0.0045923719289123754,-0.023809492588043213,0.1666666865348816
pf_fs_soft,10.0,18.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,61.035491943359375,-0.0032120367278516415,0.0,0.0
pf_fs_cognitive,10.0,18.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,10.709747314453125,-0.005182963791283135,-0.007936477661132812,-0.08333331346511841
du_pf_soft,10.0,18.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,18.1634521484375,-0.003179105972234031,-0.02380955219268799,0.3333333432674408
du_pf_cognitive,10.0,18.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,40.57940673828125,-0.004374975001570691,-0.0158730149269104,0.1666666865348816
pf_fs_soft,10.0,19.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,0.7114715576171875,-0.004021521894897462,-0.0158730149269104,0.0
pf_fs_cognitive,10.0,19.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,26.855255126953125,-0.0034108797113029388,-0.03968256711959839,0.0
du_pf_soft,10.0,19.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-3.246856689453125,-0.0034439101274462702,-0.0158730149269104,0.0833333358168602
du_pf_cognitive,10.0,19.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,11.4066162109375,-0.004064379231348503,0.0158730149269104,-0.08333331346511841
pf_fs_soft,10.0,20.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,5.97308349609375,-0.0021947486220798007,-0.03968256711959839,0.0
pf_fs_cognitive,10.0,20.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-4.3924560546875,-0.00021241563424778676,-0.05555558204650879,0.08333337306976318
du_pf_soft,10.0,20.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,6.349151611328125,-0.003814302626885868,-0.007936537265777588,-0.1666666567325592
du_pf_cognitive,10.0,20.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-5.0697021484375,-0.0033125904808716244,-0.0158730149269104,0.0
pf_fs_soft,10.0,21.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-2.341156005859375,-0.001652913316500082,-0.0158730149269104,-0.25
pf_fs_cognitive,10.0,21.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-4.142822265625,-0.0050007737626118764,-0.023809492588043213,0.0
du_pf_soft,10.0,21.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,1.312286376953125,-0.0031536545886911016,-0.0158730149269104,0.0833333432674408
du_pf_cognitive,10.0,21.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,26.8740234375,-0.004384066604432135,-0.023809492588043213,0.0
pf_fs_soft,10.0,22.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,7.66204833984375,-0.0032928462529218105,-0.0158730149269104,0.0
pf_fs_cognitive,10.0,22.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,7.12078857421875,-0.00417003273132599,-0.0317460298538208,0.0
du_pf_soft,10.0,22.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,1.5135040283203125,-0.002387651509148103,0.0158730149269104,0.08333331346511841
du_pf_cognitive,10.0,22.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,-6.583526611328125,-0.0027905975360401625,-0.007936477661132812,-0.08333337306976318
