algorithm,tau_rms_ns,channel_modeling,sum_rate_bps_per_hz,weighted_sum_rate_bps_per_hz,avg_user_rate_bps_per_hz,p05_user_rate_bps_per_hz,p50_user_rate_bps_per_hz,jain_fairness,avg_sinr_db,p05_sinr_db,p50_sinr_db,p75_sinr_db,coverage_rate,coverage_sinr,max_bs_power_watt,max_bs_power_violation_watt,runtime_sec,max_fs_interference_watt,mean_fs_interference_watt,max_fs_interference_dbm,mean_fs_interference_dbm,max_fs_violation_watt,protection_satisfaction,protection_satisfaction_strict,min_fs_i_max_dbm,max_fs_i_max_dbm,min_protection_margin_db,mean_protection_margin_db,final_w_delta,final_history_weighted_sum_rate,sweep_value,num_iterations_or_layers,converged,used_unfolding,pf_utility,pf_avg_rate_bps_per_hz,pf_p05_rate_bps_per_hz,pf_jain_fairness,pf_slots,bc50_hz,bc90_hz,group_bandwidth_hz,group_over_bc50,group_over_bc90,flat_ok_bc50,flat_ok_bc90,mean_active_tones_per_bs,min_active_tones_per_bs,max_active_tones_per_bs,active_fraction
du_pf_cognitive,400.0,flat,307.16802501678467,305.71871280670166,2.4378414638340473,0.016490059916982044,2.59251319617033,0.8102480284869671,-5.302403185516596,-116.38927549123764,6.97868125140667,9.040575489401817,0.868303569033742,0.868303569033742,50.33051264286041,0.0,17.980109336291207,1.0210618193211288e-14,8.927165522397618e-15,-109.9174473285675,-110.60877585411072,2.1067310819880352e-16,0.7421874990686774,0.7213541688397527,-110.0,-110.0,-0.08255139209327919,0.6087769115110859,0.1157802215311676,305.7187099456787,5.0,20.0,0.0,1.0,71.8384678436845,1.7921778747063264,1.3425984286000054,0.9794558105443987,8.0,500000.0,49999.99999999999,511875.0,1.0237500000000002,10.2375,0.0,0.0,8.0,8.0,8.0,0.5
du_pf_cognitive,400.0,selective,266.7542405128479,264.68746042251587,2.117097146809101,0.6505234902724624,2.249507762491703,0.8895023986697197,-13.229695916175842,-120.0,5.934058494865894,8.051344238221645,0.9017857052385807,0.8127480186522007,55.518328845500946,0.0,18.011225960144657,1.0316667962287167e-14,9.070012493814813e-15,-109.87869143486023,-110.53629994392395,3.170007040813826e-16,0.6406249981373549,0.6119791646488011,-110.0,-110.0,-0.12130646007181052,0.5363000853831181,0.1520593855530023,264.6874599456787,5.0,20.0,0.0,1.0,58.22431929134553,1.6015675585044005,1.2735934777912308,0.9865334411221203,8.0,500000.0,49999.99999999999,511875.0,1.0237500000000002,10.2375,0.0,0.0,8.0,8.0,8.0,0.5
du_pf_cognitive,800.0,flat,307.16802501678467,305.71871280670166,2.4378414638340473,0.016490059916982044,2.59251319617033,0.8102480284869671,-5.302403185516596,-116.38927549123764,6.97868125140667,9.040575489401817,0.868303569033742,0.868303569033742,50.33051264286041,0.0,17.9853277097136,1.0210618193211288e-14,8.927165522397618e-15,-109.9174473285675,-110.60877585411072,2.1067310819880352e-16,0.7421874990686774,0.7213541688397527,-110.0,-110.0,-0.08255139209327919,0.6087769115110859,0.1157802215311676,305.7187099456787,5.0,20.0,0.0,1.0,71.8384678436845,1.7921778747063264,1.3425984286000054,0.9794558105443987,8.0,250000.0,25000.0,511875.0,2.0475000000000003,20.475,0.0,0.0,8.0,8.0,8.0,0.5
du_pf_cognitive,800.0,selective,266.0132179260254,263.9454507827759,2.1112160235643387,0.6809998410753906,2.2399624343961477,0.8899509459733963,-13.446646273136139,-120.0,5.922988884150982,8.065263856202364,0.8973214216530323,0.8104073628783226,54.902497828006744,0.0,17.964681829180336,1.038218442551007e-14,9.073459388514546e-15,-109.85991859436035,-110.5409586429596,3.832649650478134e-16,0.6223958372138441,0.6015625006984919,-110.0,-110.0,-0.14008095172926002,0.540958991390653,0.15432409313507373,263.94544887542725,5.0,20.0,0.0,1.0,57.59998767127215,1.5936887235893433,1.260789878849007,0.9866374305382865,8.0,250000.0,25000.0,511875.0,2.0475000000000003,20.475,0.0,0.0,8.0,8.0,8.0,0.5
du_pf_soft,10.0,flat,246.23019361495972,244.88378047943115,1.9542078860104084,0.017928468151801488,2.034946722909808,0.8085753973573446,-6.068750750273466,-112.8950105458498,4.897562704980373,6.8499787002801895,0.8581349160522223,0.8581349160522223,59.694425106048584,0.0,18.20304132952151,1.39421772142917e-14,9.802537836256663e-15,-109.05259966850281,-110.27795958518982,3.942177389774999e-15,0.4166666669771075,0.4062500009313226,-110.0,-110.0,-0.9474004672811134,0.27796066551672993,0.14952169079333538,244.88378238677979,5.0,20.0,0.0,1.0,51.368442060848515,1.519368573054392,1.1646181280963164,0.9814653645864816,8.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,,,,
du_pf_soft,10.0,selective,241.06460428237915,239.4598045349121,1.913211151957512,0.06446129547379825,2.060020947828889,0.8554024957120419,-7.111455038189888,-120.0,4.785186901688576,6.716217361390591,0.8635912649333477,0.8507564514875412,60.89731979370117,0.0,18.205139471421717,1.3265650940528506e-14,9.805671911101063e-15,-109.11143970489502,-110.24197149276733,3.265651116011805e-15,0.3333333337213844,0.3203125009313226,-110.0,-110.0,-0.8885597158223391,0.24197234826715427,0.15577965835109348,239.4598069190979,5.0,20.0,0.0,1.0,49.8035263382366,1.497743372782809,1.1737853695082003,0.9849950901293814,8.0,20000000.0,2000000.0,511875.0,0.02559375,0.2559375,1.0,1.0,,,,
du_pf_soft,20.0,flat,246.23019361495972,244.88378047943115,1.9542078860104084,0.017928468151801488,2.034946722909808,0.8085753973573446,-6.068750750273466,-112.8950105458498,4.897562704980373,6.8499787002801895,0.8581349160522223,0.8581349160522223,59.694425106048584,0.0,17.993178941178485,1.39421772142917e-14,9.802537836256663e-15,-109.05259966850281,-110.27795958518982,3.942177389774999e-15,0.4166666669771075,0.4062500009313226,-110.0,-110.0,-0.9474004672811134,0.27796066551672993,0.14952169079333538,244.88378238677979,5.0,20.0,0.0,1.0,51.368442060848515,1.519368573054392,1.1646181280963164,0.9814653645864816,8.0,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,,,,
du_pf_soft,20.0,selective,237.43870401382446,235.94012689590454,1.8844341672956944,0.20713460835882455,2.0319138299673796,0.8642035257071257,-8.348650768399239,-120.0,4.718695126473904,6.626749150454998,0.863839277997613,0.8412233348935843,61.75467926263809,0.0,17.9899344796504,1.3123939628535342e-14,9.82289095271822e-15,-109.11930084228516,-110.23179316520691,3.1239398040186413e-15,0.3333333348855376,0.3255208358168602,-110.0,-110.0,-0.8806970078730956,0.23179284983780235,0.15990800363942978,235.94012260437012,5.0,20.0,0.0,1.0,48.56450605741768,1.4823540108767845,1.1729769661085867,0.9858054157816748,8.0,10000000.0,1000000.0,511875.0,0.0511875,0.511875,1.0,1.0,,,,
du_pf_soft,50.0,flat,246.23019361495972,244.88378047943115,1.9542078860104084,0.017928468151801488,2.034946722909808,0.8085753973573446,-6.068750750273466,-112.8950105458498,4.897562704980373,6.8499787002801895,0.8581349160522223,0.8581349160522223,59.694425106048584,0.0,17.960810639218835,1.39421772142917e-14,9.802537836256663e-15,-109.05259966850281,-110.27795958518982,3.942177389774999e-15,0.4166666669771075,0.4062500009313226,-110.0,-110.0,-0.9474004672811134,0.27796066551672993,0.14952169079333538,244.88378238677979,5.0,20.0,0.0,1.0,51.368442060848515,1.519368573054392,1.1646181280963164,0.9814653645864816,8.0,4000000.0,400000.0,511875.0,0.12796875,1.2796875,1.0,0.0,,,,
du_pf_soft,50.0,selective,230.45034980773926,228.81076908111572,1.8289710395038128,0.4432676760479808,1.9464244693517685,0.8775490745902061,-10.717912495136261,-120.0,4.5471992418169975,6.517464406788349,0.8707837238907814,0.8242807500064373,63.42454636096954,0.0,17.969580792261695,1.3701294967196647e-14,9.912514211847997e-15,-109.01542806625366,-110.20020461082458,3.701295142679946e-15,0.2942708330228925,0.2682291700039059,-110.0,-110.0,-0.9845714214025065,0.2002042591047939,0.17311974614858625,228.81077194213867,5.0,20.0,0.0,1.0,46.37195018985989,1.4559200553955118,1.1635126345336713,0.9867343733963565,8.0,4000000.0,400000.0,511875.0,0.12796875,1.2796875,1.0,0.0,,,,
